記錄號碼,更新人,建立人,更新時間,建立時間,客戶/供應商代號,客戶/供應商名稱,客戶/供應商類型,統一編號,客戶類別,負責業務 (擇一即可),收貨地址(可刪除),供應商類別,國別/城市別,產業類別 (類型為客戶時才顯示),客戶/供應商集團,發票地址,付款條件,付款方式,結帳日,特殊要求,幣別,運輸條件,公司網站,公司電話,公司傳真,發票郵遞區號,收貨郵遞區號(可刪除),負責業務(NAME)(擇一即可),業績歸屬,供應商簡碼,員工編號,員工姓名,清洗後地址,Latitude,Longitude
4057,Paul,Paul,2026/02/26 13:44,2026/02/26 13:44,EIT-0534,英菲菱電源股份有限公司,Customer,,Local Customer,Darren,英菲菱電源股份有限公司,,TW-N2 New Taipei,Energy Storage,英菲菱電源股份有限公司,英菲菱電源股份有限公司,Prepaid,Remittance,,,TWD,,,+886-2-2517-5881,,22183,22183,Darren Chang,Darren,,T023,張宏銘,英菲菱電源股份有限公司,24.611988,120.759397
4056,Paul,Paul,2026/02/26 13:43,2026/02/26 13:43,EIT-0533,華城電能科技股份有限公司,Customer,90807408,Local Customer,Darren,台北市南港區三重路66號12樓,,TW-N1 Taipei,Energy Storage,華城電能科技股份有限公司,台北市南港區三重路66號12樓,Prepaid,Remittance,,,TWD,,,(02)-2325-3320,02)-2325-3350,11560,11560,Darren Chang,Darren,,T023,張宏銘,台北市南港區三重路66號,25.057392,121.614672
4055,Paul,Paul,2026/02/26 13:41,2026/02/26 13:40,EIT-0532,英業達股份有限公司,Customer,04322046,Local Customer,Darren,桃園市桃園區大智路88號,,TW-N4 Taoyuan,Energy Storage,英業達股份有限公司,桃園市桃園區大智路88號,Prepaid,Remittance,,,TWD,,,(03)-390-0000,,33068,33068,Darren Chang,Darren,,T023,張宏銘,桃園市桃園區大智路88號,24.978782,121.327066
4054,Paul,Paul,2026/02/26 13:38,2026/02/26 13:38,EIT-0531,群光電能科技股份有限公司,Customer,24284436,Local Customer,Darren,新北市三重區光復路２段69號26樓,,TW-N2 New Taipei,Energy Storage,群光電能科技股份有限公司,新北市三重區光復路２段69號26樓,Prepaid,Remittance,,,TWD,,,02-6626-0678,02-2999-9332,24158,24158,Darren Chang,Darren,,T023,張宏銘,新北市三重區光復路２段69號,25.055337,121.472589
4053,Paul,Paul,2026/02/26 13:37,2026/02/26 13:37,EIT-0530,研揚科技股份有限公司,Customer,53113073,Local Customer,Darren,新北市新店區寶橋路235巷135號5樓,,TW-N2 New Taipei,Power Semiconductor,研揚科技股份有限公司,新北市新店區寶橋路235巷135號5樓,Prepaid,Remittance,,,TWD,,,(02)8919-1234,(02)8919-1053,23145,23145,Darren Chang,Darren,,T023,張宏銘,新北市新店區寶橋路235巷135號,24.984172,121.552189
4052,Paul,Paul,2026/02/26 13:31,2026/02/26 13:31,EIT-0529,聯昌電子企業股份有限公司,Customer,35568331,Local Customer,Darren,台北市內湖區南京東路６段501號11樓,,TW-N1 Taipei,Motor Drive,聯昌電子企業股份有限公司,台北市內湖區南京東路６段501號11樓,Prepaid,Remittance,,,TWD,,,+886 8792 1666,+886 2 2793 5577,11469,11469,Darren Chang,Darren,,T023,張宏銘,台北市內湖區南京東路６段501號,25.053153,121.574915
4051,Paul,Paul,2026/02/26 13:29,2026/02/26 13:28,EIT-0528,和鑫生技開發股份有限公司,Customer,27734738,Local Customer,Darren,台北市內湖區新湖一路91號7樓,,TW-N1 Taipei,Ultrasonic,和鑫生技開發股份有限公司,台北市內湖區新湖一路91號7樓,Prepaid,Remittance,,,TWD,,,+886 2 2796 8910,+886 2 2796 8910,11494,11494,Darren Chang,Darren,,T023,張宏銘,台北市內湖區新湖一路91號,25.05852,121.575973
4049,Paul,Paul,2026/02/26 13:29,2026/02/26 13:20,EIT-0526,鴻華先進科技股份有限公司,Customer,83167722,Local Customer,Darren,新北市新店區寶高路26號8樓,,TW-N2 New Taipei,Energy Storage,鴻華先進科技股份有限公司,新北市新店區寶高路26號8樓,Prepaid,Remittance,,,TWD,,,+886 2 5590 6168 ,+886 2 5578 2999,23144,23144,Darren Chang,Darren,,T023,張宏銘,新北市新店區寶高路26號,24.976817,121.550375
4048,Paul,Paul,2026/02/09 13:56,2026/02/09 13:55,EIT-0525,三麟彩色印刷股份有限公司,Customer,	36233165,Local Customer,Darren,新北市三重區中興南街31之1號,,TW-N2 New Taipei,Others,三麟彩色印刷股份有限公司,新北市三重區中興南街31之1號,Prepaid,Remittance,,,TWD,,,(02)2995-5131,,24158,,Darren Chang,Darren,,T023,張宏銘,新北市三重區中興南街31之1號,25.044469,121.469954
4047,Arron,Arron,2026/01/02 12:31,2026/01/02 12:27,EIT-0524,Raptee Energy Private Limited,Customer,,Int'l Customer,,"2/850, Gowri Nagar, Lalithamba Nagar, Mugalivakkam, Chennai, Tamilnadu,600125, India",,IN India,Motor Drive,Raptee Energy Private Limited,"2/850, Gowri Nagar, Lalithamba Nagar, Mugalivakkam, Chennai, Tamilnadu,600125, India",Prepaid,Remittance,,,USD,Exw,https://www.rapteehv.com,+91 8925916941 ,,600125,600125,Anilkumar Viswanathan Nair,Kent,,T052,Anilkumar Viswanathan Nair,"2/850, Gowri Nagar, Lalithamba Nagar, Mugalivakkam, Chennai, Tamilnadu,600125, India",,
4046,Arron,Arron,2025/12/26 14:00,2025/12/26 14:00,EIT-0523,RIR POWER ELECTRONICS LIMITED,Customer,"9350, India GSTIN/UIN: 24AAACR2816E1ZV",,Kent,"338, International House, Baska, Ta. Halol, Dist : Panchmahal. Gujarat - 389350",,IN India,,RIR POWER ELECTRONICS LIMITED,"338, International House, Baska, Ta. Halol, Dist : Panchmahal. Gujarat - 389350",Prepaid,Remittance,,,USD,,https://www.rirpowersemi.com, 02676 - 352000,,389350,389350,Kent Feng,Kent,EIT-0523,T001,馮耀賢,"338, International House, Baska, Ta. Halol, Dist : Panchmahal. Gujarat - 389350",,
4045,Paul,Paul,2025/12/23 17:59,2025/12/23 17:59,EIT-0522,台灣百科精密儀器股份有限公司,Customer,53679839,Local Customer,Darren,新北市汐止區中興路43-1號12樓(國揚矽谷),,TW-N2 New Taipei,Electronic Load,台灣百科精密儀器股份有限公司,新北市汐止區中興路43-1號12樓(國揚矽谷),Prepaid,Remittance,25.0,,TWD,,,+886 2 2690 2351,+886 2 2690 3130,221012,221012,Darren Chang,Jack,,T023,張宏銘,新北市汐止區中興路43-1號,25.064475,121.632606
4042,Administrator,Julia,2025/12/16 11:46,2025/12/03 09:59,EIT-0521,Hi-Q Electronics (Pty) Ltd.,Customer,,,Kent,"Bartlett Lake Office Park, Unit 8, C/O Trichardt & Leith Road, Bartlett, Boksburg; Johannesburg, South Africa",,ZA South Africa,,Hi-Q Electronics (Pty) Ltd.,"Bartlett Lake Office Park, Unit 8, C/O Trichardt & Leith Road, Bartlett, Boksburg; Johannesburg, South Africa",Prepaid,Remittance,,,USD,,https://www.hi-q.co.za/,27 21 595 1307 ,,1459,1459,Kent Feng,Kent,,T001,馮耀賢,"Bartlett Lake Office Park, Unit 8, C/O Trichardt & Leith Road, Bartlett, Boksburg; Johannesburg, South Africa",,
4041,Administrator,Julia,2025/12/16 11:46,2025/11/05 11:06,EIT-0520,Abi Instruments Private Ltd. ,Customer,,,Kent,"#84, Tiny Sector, Industrial Estate Ekkattuthangal,  Chennai - 600 032",,IN India,,Abi Instruments Private Ltd. ,"#84, Tiny Sector, Industrial Estate Ekkattuthangal,  Chennai - 600 032",Prepaid,Remittance,,,USD,EXW,,+91 44 4554 0025 / 4554 0026,,600 032,600 032,Kent Feng,Kent,,T001,馮耀賢,"#84, Tiny Sector, Industrial Estate Ekkattuthangal,  Chennai - 600 032",,
4040,Administrator,Paul,2025/12/16 11:46,2025/09/23 16:04,EIT-0519,聯興儀器股份有限公司,Customer,12279628,Local Customer,Darren,新北市新店區民權路42巷59弄2號號4樓,,TW-N2 New Taipei,Others,聯興儀器股份有限公司,新北市新店區民權路42巷59弄2號號4樓,Prepaid,Check,25.0,,TWD,,,+886 2 2918 6363,+886 2 2918 8288,23141,23141,Darren Chang,Jack,,T023,張宏銘,新北市新店區民權路42巷59弄2號,24.984027,121.538349
4038,Administrator,Paul,2025/12/16 11:46,2025/09/18 14:28,EIT-0518,澤碩科技股份有限公司,Customer,53103048,Local Customer,Darren,桃園市蘆竹區榮安路2-33號,,TW-N1 Taipei,Others,澤碩科技股份有限公司,台北市中山區復興北路166號12樓,EOM 30,Check,25.0,,TWD,,,+886 2 2514 8638,+886 2 2670 3818,10487,33852,Darren Chang,Arron,,T023,張宏銘,桃園市蘆竹區榮安路2-33號,25.060738,121.283891
4036,Administrator,Paul,2025/12/16 11:46,2025/09/12 16:34,EIT-0517,起而行綠能股份有限公司,Customer,57612402,Local Customer,Darren,新竹縣竹北市新工三路110號,,TW-N5 Hsinchu,EV Charging Station,起而行綠能股份有限公司,新竹縣竹北市新工三路110號,Prepaid,Remittance,25.0,,TWD,,,+886 3 657 9006,+886 3 657 9556,302,302,Darren Chang,Arron,,T023,張宏銘,新竹縣竹北市新工三路110號,24.848059,120.998959
4033,Administrator,Paul,2025/12/16 11:46,2025/08/20 18:04,EIT-0516,鎧曄股份有限公司,Customer,97559332,Local Customer,Darren,臺南市南區喜東里永成路2段900巷438號,,TW-S2 Tainan,Repair Service,鎧曄股份有限公司,台中市烏日區高鐵六路7號4樓-1,Prepaid,Remittance,25.0,,TWD,,,+886 6 300 1688,,41456,70242,Darren Chang,Jack,,T023,張宏銘,臺南市南區喜東里永成路2段900巷438號,22.946587,120.19865
4032,Administrator,Administrator,2025/12/16 11:46,2025/08/08 14:33,EIT-0515,大驊科技五金有限公司,Customer,27778876,Local Customer,Darren,新竹市東區中華路一段149號,,TW-N5 Hsinchu,Repair Service,大驊科技五金有限公司,新竹市東區中華路一段149號,Prepaid,Remittance,25.0,,TWD,,,+886 3 542 5959,+886 3 542 3541,30060,30060,Darren Chang,Jack,,T023,張宏銘,新竹市東區中華路一段149號,24.815082,120.993081
4031,Administrator,Administrator,2025/12/16 11:46,2025/08/08 14:30,EIT-0514,Nirmal Wires Pvt Ltd.,Customer,,Int'l Customer,Kent,"Rudramani, 1720, Laskarhat, EM Bypass, Kolkata | 700039, West Bengal, India",,IN India,,Nirmal Wires Pvt Ltd.,"Rudramani, 1720, Laskarhat, EM Bypass, Kolkata | 700039, West Bengal, India",Prepaid,Remittance,25.0,,USD,,https://www.groupnirmal.com,+91 33 6622 4848 ,,700039,700039,Kent Feng,Kent,,T001,馮耀賢,"Rudramani, 1720, Laskarhat, EM Bypass, Kolkata | 700039, West Bengal, India",,
4030,Administrator,Administrator,2025/12/16 11:46,2025/08/08 14:29,EIT-0513,Coilcraft Inc.,Customer,,Int'l Customer,Kent,"1102 Silver Lake Rd.Cary, Illinois 60013",,UK United Kingdom,,Coilcraft Inc.,"1102 Silver Lake Rd.Cary, Illinois 60013",Prepaid,Remittance,25.0,,USD,,https://www.coilcraft.com/,,,60013,60013,Kent Feng,Kent,,T001,馮耀賢,"1102 Silver Lake Rd.Cary, Illinois 60013",25.058883,121.398463
3448,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0512,中達電子(江蘇)有限公司,Customer,,Int'l Customer,Darren,"JiangXing East Road 1688,Suzhou City, Jiangsu Province, Wujiang Economy Development Zone",,CN China,UPS,中達電子(江蘇)有限公司,"JiangXing East Road 1688,Suzhou City, Jiangsu Province, Wujiang Economy Development Zone",EOM 60,Remittance,25.0,,USD,FOB,,+86 512 6340 1008 7512,+86 512 63401564,,,Darren Chang,Darren,,T023,張宏銘,"JiangXing East Road 1688,Suzhou City, Jiangsu Province, Wujiang Economy Development Zone",,
3605,Paul,Administrator,2026/05/05 11:25,2025/07/28 09:28,EIT-0511,固緯電子實業股份有限公司,Customer,04735004,Local Customer,Darren,新北市土城區中興路7 之1 號,,TW-N2 New Taipei,Electronic Load,固緯電子實業股份有限公司,新北市土城區中興路7 之1 號,EOM 30,Remittance,25.0,,TWD,,,+886 2 2268 0389,+886 2 2268 0639,,,Darren Chang,Jack,,T023,張宏銘,新北市土城區中興路7 之1 號,24.970958,121.546203
3606,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0510,旭優企業股份有限公司,Customer,21570744,Local Customer,Darren,新北市新莊區五權一路3號8樓之8,,TW-N2 New Taipei,Distributor,旭優企業股份有限公司,新北市新莊區五權一路3號8樓之8,Prepaid,Remittance,25.0,,TWD,,,+886 2 8990 3579,+886 2 8990 3576,24892,24892,Darren Chang,Jack,,T023,張宏銘,新北市新莊區五權一路3號之8,25.066106,121.456864
3449,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0509,Heehwa Mechatronics,Customer,,Int'l Customer,Kent,"RA-3504~5, Jungang Circulation Comptex  Guro Bon-dong, Guro-gu,1258  Seoul, South Korea",,KR Korea,Others,Heehwa Mechatronics,"RA-3504~5, Jungang Circulation Comptex  Guro Bon-dong, Guro-gu,1258  Seoul, South Korea",Prepaid,Remittance,25.0,,USD,EXW,,+82 10 8924 6891,,,,Kent Feng,Kent,,T001,馮耀賢,"RA-3504~5, Jungang Circulation Comptex  Guro Bon-dong, Guro-gu,1258  Seoul, South Korea",,
3607,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0508,宏匠實業股份有限公司,Customer,89855177,Local Customer,Darren,新北市新莊區中正路558-11號1樓樓之7,,TW-N2 New Taipei,OEM/ODM,宏匠實業股份有限公司,新北市新莊區中正路558-11號1樓樓之7,Prepaid,Remittance,25.0,,TWD,,,+886 2 2903 7228,+886 2 2903 7256,24257,24257,Darren Chang,Jack,,T023,張宏銘,新北市新莊區中正路558-11號之7,25.031198,121.43003
3450,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0507,宸威技術有限公司,Customer,83204487,Int'l Customer,Darren,桃園市桃園區樹仁三街 131 巷 26 弄 29 號 1 樓,,CN China,Power Semiconductor,宸威技術有限公司,桃園市桃園區寶安里中埔一街380號12樓,Cash on Delivery,Remittance,25.0,,TWD,FOB,,+886 938 288 982,,,,Darren Chang,Jack,,T023,張宏銘,桃園市桃園區樹仁三街 131 巷 26 弄 29 號,24.972892,121.319971
3608,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0506,大昶貿易行股份有限公司,Customer,7613692,Local Customer,Darren,新北市三重區光復路1段83巷8號5樓,,TW-N2 New Taipei,Distributor,大昶貿易行股份有限公司,新北市三重區光復路1段83巷8號5樓,EOM 30,Remittance,25.0,,TWD,,,+886 2 29991061,+886 2 2999 1361,241077,241077,Darren Chang,Jack,,T023,張宏銘,新北市三重區光復路1段83巷8號,25.050071,121.472628
3451,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0505,DJ International,Customer,,Int'l Customer,Kent,"299 Old Lajpat Rai Market, Chandni Chowk , Delhi-110006, India",,IN India,Distributor,DJ International,"299 Old Lajpat Rai Market, Chandni Chowk , Delhi-110006, India",Prepaid,Remittance,25.0,,USD,EXW,,+91 98 1026 1069,,110006,110006,Kent Feng,Kent,,T001,馮耀賢,"299 Old Lajpat Rai Market, Chandni Chowk , Delhi-110006, India",,
3452,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0504,S.CO.M.E.S. s.r.l.,Customer,,Int'l Customer,Kent,"Viale Enrico Mattei, 6/8, 26823 Castiglione d'Adda LO, Italy",,IT Italy,Power Semiconductor,S.CO.M.E.S. s.r.l.,"Viale Enrico Mattei, 6/8, 26823 Castiglione d'Adda LO, Italy",Prepaid,Remittance,25.0,,USD,EXW,,+39 33 7134 5798,,,26823,Kent Feng,Kent,,T001,馮耀賢,"Viale Enrico Mattei, 6/8, 26823 Castiglione d'Adda LO, Italy",,
3609,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0503,台灣應達股份有限公司,Customer,22102683,Local Customer,Darren,彰化縣鹿港鎮彰濱工業區工業西五路10號,,TW-M3 Changhua,Induction Heating,台灣應達股份有限公司,彰化縣鹿港鎮彰濱工業區工業西五路10號,Prepaid,Remittance,25.0,,TWD,,,+886 4 781 1630,+886 4 781 1631,505004,505004,Darren Chang,Jack,,T023,張宏銘,彰化縣鹿港鎮彰濱工業區工業西五路10號,24.071211,120.401518
3453,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0502,Digital Security Systems and Technologies Ltd.,Customer,,Int'l Customer,Kent,"Digital security systems and technologies ltd,Room 52 1st Floor, Afcom house, suite 69, Zambia way, Kitwe Zambia",,ZB Zambia,Others,Digital Security Systems and Technologies Ltd.,"Digital security systems and technologies ltd,Room 52 1st Floor, Afcom house, suite 69, Zambia way, Kitwe Zambia",Prepaid,Remittance,25.0,,USD,EXW,https://www.digitalzambialtd.com/index.php,+26 09 69 371938,,,10101,Kent Feng,Kent,,T001,馮耀賢,"Digital security systems and technologies ltd,Room 52 1st Floor, Afcom house, suite 69, Zambia way, Kitwe Zambia",,
3610,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0501,宇宏企業股份有限公司,Customer,22864578,Local Customer,Darren,新北市三重區重新路5段609巷16號6樓之1,,TW-N2 New Taipei,Distributor,宇宏企業股份有限公司,新北市三重區重新路五段609巷16號5樓之7,Prepaid,Remittance,25.0,,TWD,,,+886 2 2278 2269,+886 2 2278 2059,241,241,Darren Chang,Jack,,T023,張宏銘,新北市三重區重新路5段609巷16號之1,25.061671,121.495383
3611,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0500,泰映科技股份有限公司,Customer,96952358,Local Customer,Darren,新北市五股區五工五路38號6樓,,TW-N2 New Taipei,Motor Drive,泰映科技股份有限公司,新北市五股區五工五路38號6樓,Cash on Delivery,Remittance,25.0,,TWD,,,+886 2 2299 9833,+886 2 2299 3129,24890,24890,Darren Chang,Jack,,T023,張宏銘,新北市五股區五工五路38號,25.066992,121.449482
3454,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0499,"TOT POWER IBERIA,SL",Customer,,Int'l Customer,Kent,,,ES Spain,Distributor,"TOT POWER IBERIA,SL",,Prepaid,Remittance,25.0,,USD,EXW,http://www.tot-power.com,+34 611 706 967,,,,Kent Feng,Kent,,T001,馮耀賢,,,
3612,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0498,台灣積體電路製造股份有限公司,Customer,22099131,Local Customer,Darren,台南科學工業園區南科九路17號,,TW-S2 Tainan,Others,台灣積體電路製造股份有限公司,台南科學工業園區南科九路17號,Prepaid,Remittance,25.0,,TWD,,,+886 6 505 6688,,74144,74144,Darren Chang,Jack,,T023,張宏銘,台南科學工業園區南科九路17號,23.114301,120.267182
3613,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0497,美達科技股份有限公司,Customer,13115906,Local Customer,Darren,新北市中和區連城路268號15樓,,TW-N2 New Taipei,Testing Equipment,美達科技股份有限公司,新北市中和區連城路268號15樓,Prepaid,Remittance,25.0,,TWD,,,+886 2 8227 3822,+886 2 8227 3818,235,235,Darren Chang,Arron,,T023,張宏銘,新北市中和區連城路268號,24.996576,121.48652
3455,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0496,"Shanghai LionsGate Semiconductor Co., Ltd.",Customer,,Int'l Customer,Kent,,,CN China,Power Semiconductor,"Shanghai LionsGate Semiconductor Co., Ltd.",,Prepaid,Remittance,25.0,,USD,EXW,,+86 21 5786 6090,,,,Kent Feng,Kent,,T001,馮耀賢,,,
3614,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0495,冠埕科技股份有限公司,Customer,93518064,Local Customer,Darren,桃園市龜山區頂湖二街56號(林口工四工業區),,TW-N4 Taoyuan,Ultrasonic,冠埕科技股份有限公司,桃園市龜山區頂湖二街56號(林口工四工業區),EOM 30,Remittance,25.0,,TWD,,,+886 977 167 727,,333008,333008,Darren Chang,Jack,,T023,張宏銘,桃園市龜山區頂湖二街56號,25.040528,121.360964
3456,Paul,Administrator,2026/03/19 17:06,2025/07/28 09:28,EIT-0494,"EPI Technologies Corp.,Jsc",Customer,,Int'l Customer,Kent,"NO1 CN6,TU Liem Small and Medium Industrial Cluster,Xuan Phuong Ward, HaNoi City,100000, Viet Nam",,VN Vietnam,Distributor,"EPI Technologies Corp.,Jsc","NO1 CN6,TU Liem Small and Medium Industrial Cluster,Xuan Phuong Ward, HaNoi City,100000, Viet Nam",Prepaid,Remittance,25.0,,USD,EXW,,+84 397 861 996,,,,Kent Feng,Kent,,T001,馮耀賢,"NO1 CN6,TU Liem Small and Medium Industrial Cluster,Xuan Phuong Ward, HaNoi City,100000, Viet Nam",,
3615,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0493,威統自動化有限公司,Customer,90830956,Local Customer,Darren,彰化縣員林市南東里7鄰山腳路四段165號,,TW-M3 Changhua,Plasma/Pulse Power Supply,威統自動化有限公司,彰化縣員林市南東里7鄰山腳路四段165號,EOM 30,Remittance,25.0,,TWD,,,+886 4 836 2776,,510032,510032,Darren Chang,Jack,,T023,張宏銘,彰化縣員林市南東里7鄰山腳路四段165號,23.96684,120.60139
3457,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0492,"Changse Innovation Co., Ltd.",Customer,,Int'l Customer,Kent,,,KR Korea,Others,"Changse Innovation Co., Ltd.",,Prepaid,Remittance,25.0,,USD,EXW,,+82 26 929 2688,,,,Kent Feng,Kent,,T001,馮耀賢,,,
3616,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0491,洲通能源科技有限公司,Customer,68774240,Local Customer,Darren,新北市中和區建一路179號9F,,TW-N2 New Taipei,Testing Equipment,洲通能源科技有限公司,新北市中和區建一路179號9F,Prepaid,Remittance,25.0,,TWD,,,+886 977 167 727,,23551,23551,Darren Chang,Jack,,T023,張宏銘,新北市中和區建一路179號,24.998676,121.488261
3617,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0490,崧貿實業股份有限公司,Customer,84919026,Local Customer,Darren,新北市汐止區保長路422/426號6樓,,TW-N2 New Taipei,OEM/ODM,崧貿實業股份有限公司,新北市汐止區保長路422/426號6樓,Prepaid,Remittance,25.0,,TWD,,,+886 2 7708 1761,,221034,221034,Darren Chang,Jack,,T023,張宏銘,新北市汐止區保長路422/426號,25.072092,121.684176
